Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name,Host_Country
335987,18-Apr-08,2,1,1,M Chinnaswamy Stadium,2,field,0,1,by runs,140.0,1.0,2.0,470,477,Bangalore,India
335988,19-Apr-08,4,3,1,"Punjab Cricket Association Stadium, Mohali",3,bat,0,1,by runs,33.0,3.0,19.0,471,487,Chandigarh,India
335989,19-Apr-08,6,5,1,Feroz Shah Kotla,5,bat,0,1,by wickets,9.0,6.0,90.0,472,512,Delhi,India
335990,20-Apr-08,7,2,1,Wankhede Stadium,7,bat,0,1,by wickets,5.0,2.0,11.0,473,476,Mumbai,India
335991,20-Apr-08,1,8,1,Eden Gardens,8,bat,0,1,by wickets,5.0,1.0,4.0,474,486,Kolkata,India
335992,21-Apr-08,5,4,1,Sawai Mansingh Stadium,4,bat,0,1,by wickets,6.0,5.0,32.0,472,513,Jaipur,India
335993,22-Apr-08,8,6,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,by wickets,9.0,6.0,41.0,475,492,Hyderabad,India
335994,23-Apr-08,3,7,1,"MA Chidambaram Stadium, Chepauk",7,field,0,1,by runs,6.0,3.0,18.0,476,512,Chennai,India
335995,24-Apr-08,8,5,1,"Rajiv Gandhi International Stadium, Uppal",5,field,0,1,by wickets,3.0,5.0,31.0,470,471,Hyderabad,India
335996,25-Apr-08,4,7,1,"Punjab Cricket Association Stadium, Mohali",7,field,0,1,by runs,66.0,4.0,26.0,472,492,Chandigarh,India
335997,26-Apr-08,2,5,1,M Chinnaswamy Stadium,5,field,0,1,by wickets,7.0,5.0,32.0,471,475,Bangalore,India
335998,26-Apr-08,3,1,1,"MA Chidambaram Stadium, Chepauk",1,bat,0,1,by wickets,9.0,3.0,22.0,474,479,Chennai,India
335999,27-Apr-08,7,8,1,Dr DY Patil Sports Academy,8,field,0,1,by wickets,10.0,8.0,53.0,470,487,Mumbai,India
336000,27-Apr-08,4,6,1,"Punjab Cricket Association Stadium, Mohali",6,bat,0,1,by wickets,4.0,4.0,28.0,477,514,Chandigarh,India
336001,28-Apr-08,2,3,1,M Chinnaswamy Stadium,3,bat,0,1,by runs,13.0,3.0,20.0,478,513,Bangalore,India
336002,29-Apr-08,1,7,1,Eden Gardens,1,bat,0,1,by wickets,7.0,7.0,44.0,474,479,Kolkata,India
336003,30-Apr-08,6,2,1,Feroz Shah Kotla,2,field,0,1,by runs,10.0,6.0,118.0,472,514,Delhi,India
336004,1-May-08,8,4,1,"Rajiv Gandhi International Stadium, Uppal",4,field,0,1,by wickets,7.0,4.0,100.0,478,513,Hyderabad,India
336005,1-May-08,5,1,1,Sawai Mansingh Stadium,5,bat,0,1,by runs,45.0,5.0,101.0,477,512,Jaipur,India
336006,2-May-08,3,6,1,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,by wickets,8.0,6.0,41.0,474,486,Chennai,India
336007,25-May-08,8,2,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,by wickets,5.0,2.0,81.0,470,477,Hyderabad,India
336008,3-May-08,4,1,1,"Punjab Cricket Association Stadium, Mohali",4,bat,0,1,by runs,9.0,4.0,29.0,476,514,Chandigarh,India
336009,4-May-08,7,6,1,Dr DY Patil Sports Academy,6,field,0,1,by runs,29.0,7.0,49.0,475,477,Mumbai,India
336010,4-May-08,5,3,1,Sawai Mansingh Stadium,3,bat,0,1,by wickets,8.0,5.0,102.0,470,479,Jaipur,India
336011,5-May-08,2,4,1,M Chinnaswamy Stadium,4,field,0,1,by wickets,6.0,4.0,77.0,473,478,Bangalore,India
336012,6-May-08,3,8,1,"MA Chidambaram Stadium, Chepauk",8,field,0,1,by wickets,7.0,8.0,53.0,471,513,Chennai,India
336013,7-May-08,7,5,1,Dr DY Patil Sports Academy,7,field,0,1,by wickets,7.0,7.0,73.0,476,477,Mumbai,India
336014,8-May-08,6,3,1,Feroz Shah Kotla,3,field,0,1,by wickets,4.0,3.0,20.0,472,513,Delhi,India
336015,8-May-08,1,2,1,Eden Gardens,1,bat,0,1,by runs,5.0,1.0,1.0,470,475,Kolkata,India
336016,9-May-08,5,8,1,Sawai Mansingh Stadium,5,field,0,1,by wickets,8.0,5.0,31.0,471,492,Jaipur,India
336017,28-May-08,2,7,1,M Chinnaswamy Stadium,7,field,0,1,by wickets,9.0,7.0,149.0,474,479,Bangalore,India
336018,10-May-08,3,4,1,"MA Chidambaram Stadium, Chepauk",4,field,0,1,by runs,18.0,3.0,151.0,479,480,Chennai,India
