Unnamed: 0,Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
0,1,SC Ganguly,1972-08-07,Left_Hand,Right-arm medium,India
1,2,BB McCullum,1981-09-27,Right_Hand,Right-arm medium,New Zealand
2,3,RT Ponting,1974-12-19,Right_Hand,Right-arm medium,Australia
3,4,DJ Hussey,1977-07-15,Right_Hand,Right-arm offbreak,Australia
4,5,Mohammad Hafeez,1980-10-17,Right_Hand,Right-arm offbreak,Pakistan
5,6,R Dravid,1973-11-01,Right_Hand,Right-arm offbreak,India
6,7,W Jaffer,1978-02-16,Right_Hand,Right-arm offbreak,India
7,8,V Kohli,1988-05-11,Right_Hand,Right-arm medium,India
8,9,JH Kallis,1975-10-16,Right_Hand,Right-arm fast-medium,South Africa
9,10,CL White,1983-08-18,Right_Hand,Legbreak googly,Australia
10,11,MV Boucher,1976-03-12,Right_Hand,Right-arm medium,South Africa
11,12,B Akhil,1977-07-10,Right_Hand,Right-arm medium-fast,India
12,13,AA Noffke,1977-04-30,Right_Hand,Right-arm fast-medium,Australia
13,14,P Kumar,1986-02-10,Right_Hand,Right-arm medium,India
14,15,Z Khan,1978-07-10,Right_Hand,Left-arm fast-medium,India
15,16,SB Joshi,1970-06-06,Left_Hand,Slow left-arm orthodox,India
16,18,ML Hayden,1971-10-29,Left_Hand,Right-arm medium,Australia
17,19,MEK Hussey,1975-05-27,Left_Hand,Right-arm medium,Australia
18,20,MS Dhoni,1981-07-07,Right_Hand,Right-arm medium,India
19,21,SK Raina,1986-11-27,Left_Hand,Right-arm offbreak,India
20,22,JDP Oram,1978-07-28,Left_Hand,Right-arm fast-medium,New Zealand
21,23,S Badrinath,1980-08-30,Right_Hand,Right-arm offbreak,India
22,24,K Goel,1986-12-24,Left_Hand,Right-arm offbreak,India
23,25,JR Hopes,1978-10-24,Right_Hand,Right-arm medium,Australia
24,26,KC Sangakkara,1977-10-27,Left_Hand,Right-arm offbreak,Sri Lanka
25,27,Yuvraj Singh,1981-12-12,Left_Hand,Slow left-arm orthodox,India
26,28,SM Katich,1975-08-21,Left_Hand,Slow left-arm chinaman,Australia
27,29,IK Pathan,1984-10-27,Left_Hand,Left-arm medium-fast,India
28,30,T Kohli,1988-12-17,Right_Hand,Right-arm medium,India
29,31,YK Pathan,1982-11-17,Right_Hand,Right-arm offbreak,India
30,32,SR Watson,1981-06-17,Right_Hand,Right-arm fast-medium,Australia
31,33,M Kaif,1980-01-12,Right_Hand,Right-arm offbreak,India
32,34,DS Lehmann,1970-05-02,Left_Hand,Slow left-arm orthodox,Australia
33,35,RA Jadeja,1988-06-12,Left_Hand,Slow left-arm orthodox,India
34,37,D Salunkhe,1982-12-11,Right_Hand,Legbreak,India
35,38,SK Warne,1969-09-13,Right_Hand,Legbreak googly,Australia
36,39,SK Trivedi,1982-04-09,Right_Hand,Right-arm medium,India
37,40,G Gambhir,1981-10-14,Left_Hand,Legbreak,India
38,41,V Sehwag,1978-10-20,Right_Hand,Right-arm offbreak,India
39,42,S Dhawan,1985-05-12,Left_Hand,Right-arm offbreak,India
40,44,ST Jayasuriya,1969-06-30,Left_Hand,Slow left-arm orthodox,Sri Lanka
41,45,DJ Thornely,1978-01-10,Right_Hand,Right-arm medium,Australia
42,46,RV Uthappa,1985-11-11,Right_Hand,Right-arm medium,India
43,48,AM Nayar,1983-08-10,Left_Hand,Right-arm medium,India
44,49,SM Pollock,1973-07-16,Right_Hand,Right-arm fast-medium,South Africa
45,50,Harbhajan Singh,1980-03-07,Right_Hand,Right-arm offbreak,India
46,51,S Chanderpaul,1974-08-16,Left_Hand,Legbreak,West Indies
47,52,LRPL Taylor,1984-08-03,Right_Hand,Right-arm offbreak,New Zealand
48,53,AC Gilchrist,1971-11-14,Left_Hand,Right-arm offbreak,Australia
49,54,Y Venugopal Rao,1982-02-26,Right_Hand,Right-arm offbreak,India
50,55,VVS Laxman,1974-01-11,Right_Hand,Right-arm offbreak,India
51,56,A Symonds,1975-09-06,Right_Hand,Right-arm offbreak,Australia
52,57,RG Sharma,1987-04-30,Right_Hand,Right-arm offbreak,India
53,58,SB Styris,1975-10-07,Right_Hand,Right-arm medium,New Zealand
54,59,SB Bangar,1972-11-10,Right_Hand,Right-arm medium-fast,India
55,60,WPUJC Vaas,1974-01-27,Left_Hand,Left-arm fast-medium,Sri Lanka
56,61,RP Singh,1985-06-12,Right_Hand,Left-arm fast-medium,India
57,63,LR Shukla,1981-06-05,Right_Hand,Right-arm medium,India
58,64,DPMD Jayawardene,1977-05-27,Right_Hand,Right-arm medium,Sri Lanka
59,65,S Sohal,1987-10-11,Right_Hand,Legbreak,India
60,66,B Lee,1976-08-11,Right_Hand,Right-arm fast,Australia
61,67,PP Chawla,1988-12-24,Left_Hand,Legbreak,India
62,68,WA Mota,1981-09-20,Right_Hand,Right-arm medium,India
63,70,Shahid Afridi,1980-01-03,Right_Hand,Legbreak googly,Pakistan
64,71,DJ Bravo,1983-07-10,Right_Hand,Right-arm medium-fast,West Indies
65,72,MA Khote,1980-04-22,Right_Hand,Right-arm medium,India
66,73,A Nehra,1979-04-29,Right_Hand,Left-arm medium-fast,India
67,74,GC Smith,1981-01-02,Left_Hand,Right-arm offbreak,South Africa
68,75,Pankaj Singh,1985-06-05,Right_Hand,Right-arm medium-fast,India
69,76,RR Sarwan,1980-06-23,Right_Hand,Legbreak,West Indies
70,77,S Sreesanth,1983-06-02,Right_Hand,Right-arm fast-medium,India
71,78,VRV Singh,1984-09-17,Right_Hand,Right-arm medium-fast,India
72,80,DS Kulkarni,1988-10-12,Right_Hand,Right-arm medium,India
73,81,R Vinay Kumar,1984-12-02,Right_Hand,Right-arm medium,India
74,82,AB Agarkar,1977-04-12,Right_Hand,Right-arm fast,India
75,83,M Kartik,1976-11-09,Left_Hand,Slow left-arm orthodox,India
76,84,I Sharma,1988-02-09,Right_Hand,Right-arm fast-medium,India
77,85,AM Rahane,1988-06-06,Right_Hand,Right-arm medium,India
78,86,Shoaib Malik,1982-01-02,Right_Hand,Right-arm offbreak,Pakistan
79,87,MK Tiwary,1985-11-14,Right_Hand,Legbreak googly,India
80,89,R Bhatia,1979-10-22,Right_Hand,Right-arm medium-fast,India
81,90,MF Maharoof,1984-07-09,Right_Hand,Right-arm fast-medium,India
82,91,VY Mahesh,1987-12-21,Right_Hand,Right-arm medium-fast,India
83,92,TM Srivastava,1989-07-11,Left_Hand,Right-arm medium,India
